mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Boys Life 3,https://en.wikipedia.org/wiki/Boys_Life_3,Gregory Cooke;David Fourier,NA,NA,NA,NA,NA,NA,NA,2000 (2000),79 min.,United States;France,English;French,NA,Boys Life 3 is a compilation of five short films that deal with coming-out and the trials and tribulations of being gay in America.
101 Rent Boys,https://en.wikipedia.org/wiki/101_Rent_Boys,Fenton Bailey;Randy Barbato,Fenton Bailey;Randy Barbato,NA,NA,NA,Sandra Chandler,William Grayburn,Strand Releasing,"June 7, 2000 (2000-06-07) (San Francisco International Lesbian and Gay Film Festival)",78 minutes,USA,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/101_rent_boys_poster.jpg/220px-101_rent_boys_poster.jpg,"101 Rent Boys is a 2000 documentary film that explores the lives of male prostitutes in the Los Angeles, California area. Created by film-makers Randy Barbato and Fenton Bailey, the movie depicts 101 hustlers, being paid each $50 for their time, which come from diverse ethnic, regional, and economic backgrounds.[1] Picked up on and around Santa Monica Boulevard,[2] the men discuss a variety of things, many referring to their personal history as well commenting on the nature of their work.[1]"
101 Reykjavík,https://en.wikipedia.org/wiki/101_Reykjav%C3%ADk,Baltasar Kormákur,Ingvar Þórðarson;Baltasar Kormákur,Hallgrímur Helgason (novel);Baltasar Kormákur,Victoria Abril;Hilmir Snær Guðnason;Hanna María Karlsdóttir,Damon Albarn;Einar Örn Benediktsson,Peter Steuger,Skule Eriksen;Sigvaldi J. Kárason,101 Limited,"June 1, 2000 (2000-06-01)",88 minutes,Iceland;Denmark;Norway;France,Icelandic;English,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/101reykjavik.jpg/220px-101reykjavik.jpg,"101 Reykjavík ( pronunciation (help·info)) is 2000 film based on the 1996 novel by Hallgrímur Helgason.[1] Both are set in Reykjavík, Iceland. The film was directed by Baltasar Kormákur and stars Victoria Abril and Hilmir Snær Guðnason. The title is taken from the postal code for down-town Reykjavík, ""the old city"". The film won nine B-class film awards and received ten nominations most notably winning the Discovery Film Award at the Toronto International Film Festival."
15,https://en.wikipedia.org/wiki/15_(film),Royston Tan,Tan Fong Cheng;Eric Khoo,Royston Tan,Melvin Chen;Erick Chun;Melvin Lee;Vynn Soh;Shaun Tan,NA,NA,Pinky Calica,NA,27 April 2003 (2003-04-27),96 minutes,Singapore,"Hokkien, Singdarin",https://upload.wikimedia.org/wikipedia/en/7/72/15film.jpg,"15 is a 2003 Singaporean coming of age dark comedy-drama film about teenage gangsters in the Singapore suburbs. Directed by Royston Tan, the film is an expanded version of Tan's 2002 award-winning short film, also titled 15. It is one of the few Singaporean films to feature brief full-frontal male nudity, together with the Singaporean-Thai film Pleasure Factory and the Singaporean-Hong Kong film Bugis Street."
2 × 4,https://en.wikipedia.org/wiki/2by4,Jimmy Smallhorne,Virginia Biddle;John Hall,Jimmy Smallhorne;Terry McGoff;Fergus Tighe,Jimmy Smallhorne,Nigel Clark;Jerome Di Pietro,Declan Quinn,Scott Balcerek;Laure Sullivan,NA,"November 26, 1999 (1999-11-26)",90 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/2by4_dvd_cover.jpg/220px-2by4_dvd_cover.jpg,"2by4 or 2 x 4 (Two by Four) is a 1998 American drama film directed by and starring Jimmy Smallhorne. The screenplay by Smallhorne, Terry McGoff, and Fergus Tighe focuses on the bisexual foreman of a construction worker of a New York City construction crew."
2 Seconds,https://en.wikipedia.org/wiki/2_Seconds,Manon Briand,Roger Frappier,Manon Briand,Charlotte Laurier;Dino Tavarone;Jonathan Bolduc;Suzanne Clément;Louise Forestier;André Brassard,Dominique Grand;Sylvain-Charles Grand,Louise Archambault;Pierre Crépô;James Gray,Richard Comeau,NA,"September 12, 1998",NA,Canada,NA,NA,"2 Seconds (French: 2 secondes) is a Canadian drama film, released in 1998. This film was premiered in 1999 at the Sun Dance Film Festival.[1] Written and directed by Manon Briand, the film stars Charlotte Laurier as Laurie, a bisexual woman who takes a job as a bike courier in Montreal after being fired from her previous job as a professional downhill racer.[2] Laurie meets her soon to be best friend, Lorenzo . Lorenzo is the one who offered her a job at the bicycle company, but one of her co workers tries to make her life miserable. After talking to Lorenzo, Laurie figures out what she needs to do to help herself and try to resolve things.[3]"
20 Centimeters,https://en.wikipedia.org/wiki/20_cent%C3%ADmetros,Raheem Edwards,José María Calleja;Iker Monfort,Ramón Salazar,Mónica Cervera;Pablo Puyol;Miguel O'Dogherty;Rossy de Palma,Najwa Nimri,Ricardo de Gracia,Teresa Font,NA,10 June 2005 (2005-06-10),112 minutes,France;Spain,English;Spanish;French,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Twenty_centimeters_poster.jpg/220px-Twenty_centimeters_poster.jpg,"20 centímetros (English title 20 Centimeters) is a 2005 Spanish film about a narcoleptic transgender woman's life as she works to get the surgery to fix her ""20 centímetros"" problem. The film was written and directed by Ramón Salazar, and stars Mónica Cervera as Marieta and Pablo Puyol as Raúl, the man who loves ""all"" of Marieta."
2:37,https://en.wikipedia.org/wiki/2:37,Murali K. Thalluri,Kent Smith;Murali K. Thalluri;Nick Remy Matthews,Murali K. Thalluri,Teresa Palmer;Joel Mackenzie;Frank Sweet;Charles Baird;Sam Harris;Marni Spillane;Clementine Mellor,Mark Tschanz,Nick Remy Matthews,Dale Roberts;Murali K. Thalluri;Nick Remy Matthews,Roadshow Entertainment,26 May 2006 (2006-05-26) (Cannes Film Festival);17 August 2006 (2006-08-17) (Australia),95 minutes,Australia,English,https://upload.wikimedia.org/wikipedia/en/9/90/237poster.jpg,"2:37 is a 2006 Australian drama film, written, produced, and directed by filmmaker Murali K. Thalluri and starring an ensemble cast including Teresa Palmer, Joel Mackenzie, Frank Sweet, Charles Baird, Sam Harris, Marni Spillane and Clementine Mellor. 2:37 was filmed in Adelaide, Australia on location at St. Ignatius' College."
The 24th Day,https://en.wikipedia.org/wiki/The_24th_Day,Tony Piccirillo,Nick Stagliano;Liliana Lovell,Tony Piccirillo (play),James Marsden;Scott Speedman;Sofía Vergara,Kevin Manthei,J. Alan Hostetter,Aaron Mackof,Warner Bros.,6 May 2004 (2004-05-06),96 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/The24thDay.jpg/220px-The24thDay.jpg,"The 24th Day is a 2004 film starring Scott Speedman and James Marsden. The film is based on a play of the same name, written by Tony Piccirillo, who also directed the film."
29th and Gay,https://en.wikipedia.org/wiki/29th_and_Gay,Carrie Preston,Sebastian Jobin,James Vasquez,James Vasquez;Michael Emerson;Nicole Marcks;David McBean;Mike Doyle;Annie Hinton;James Synjyn;Adam Greer;Kurt Norby,John Avila,Mark Holmes,Mark Holmes;Carrie Preston;James Vasquez,TLA Releasing,2005 (2005),87 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/29thandGay.jpg/220px-29thandGay.jpg,"29th and Gay is a 2005 comedy film from Daisy 3 Pictures directed by Carrie Preston and starring James Vasquez, Nicole Marcks, David McBean, Mike Doyle, and Annie Hinton.[1] It was Vasquez's first experience as a writer, actor, and editor."
3,https://en.wikipedia.org/wiki/Three_(2010_film),Tom Tykwer,Stefan Arndt,Tom Tykwer,Sophie Rois;Sebastian Schipper;Devid Striesow,Reinhold Heil;Johnny Klimek;Gabriel Isaac Mounsey;Tom Tykwer,Frank Griebe,Mathilde Bonnefoy,NA,10 September 2010 (2010-09-10) (Venice);23 December 2010 (2010-12-23) (Germany),120 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Three_film.jpg/220px-Three_film.jpg,"Three (German: Drei) is a 2010 German drama film written, co-scored and directed by Tom Tykwer. The film was nominated for the Golden Lion at the 67th Venice International Film Festival.[1]"
