mTitle,mLink
$30,NA
Boys Life 3,https://en.wikipedia.org/wiki/Boys_Life_3
10 Attitudes,NA
The 10 Year Plan,NA
101 Rent Boys,https://en.wikipedia.org/wiki/101_Rent_Boys
101 Reykjavík,https://en.wikipedia.org/wiki/101_Reykjav%C3%ADk
15,https://en.wikipedia.org/wiki/15_(film)
2 × 4,https://en.wikipedia.org/wiki/2by4
2 Minutes Later,NA
2 Seconds,https://en.wikipedia.org/wiki/2_Seconds
20 Centimeters,https://en.wikipedia.org/wiki/20_cent%C3%ADmetros
200 American,NA
2:37,https://en.wikipedia.org/wiki/2:37
24 Nights,NA
The 24th Day,https://en.wikipedia.org/wiki/The_24th_Day
29th and Gay,https://en.wikipedia.org/wiki/29th_and_Gay
3,https://en.wikipedia.org/wiki/Three_(2010_film)
3 Dancing Slaves,https://en.wikipedia.org/wiki/3_Dancing_Slaves
3-Day Weekend,NA
3 Kanya,https://en.wikipedia.org/wiki/3_Kanya
30 Years from Here,https://en.wikipedia.org/wiki/30_Years_from_Here
4th Man Out,https://en.wikipedia.org/wiki/4th_Man_Out
4.3.2.1,https://en.wikipedia.org/wiki/4.3.2.1
491,https://en.wikipedia.org/wiki/491_(film)
5ive Girls,https://en.wikipedia.org/wiki/5ive_Girls
50 Ways of Saying Fabulous,https://en.wikipedia.org/wiki/50_Ways_of_Saying_Fabulous
52 Tuesdays,https://en.wikipedia.org/wiki/52_Tuesdays
54,https://en.wikipedia.org/wiki/54_(film)
'68,https://en.wikipedia.org/wiki/%2768_(film)
68 Pages,https://en.wikipedia.org/wiki/68_Pages
"7 mujeres, 1 homosexual y Carlos","https://en.wikipedia.org/wiki/7_mujeres,_1_homosexual_y_Carlos"
8 Women,https://en.wikipedia.org/wiki/8_Women
8: The Mormon Proposition,https://en.wikipedia.org/wiki/8:_The_Mormon_Proposition
9 Dead Gay Guys,https://en.wikipedia.org/wiki/9_Dead_Gay_Guys
À cause d'un garçon,https://en.wikipedia.org/wiki/You%27ll_Get_Over_It
À corps perdu,https://en.wikipedia.org/wiki/Straight_for_the_Heart_(film)
A mi madre le gustan las mujeres,https://en.wikipedia.org/wiki/My_Mother_Likes_Women
À toute vitesse,https://en.wikipedia.org/wiki/Full_Speed_(1996_film)
A un dios desconocido,https://en.wikipedia.org/wiki/To_an_Unknown_God
Aaron... Albeit a Sex Hero,NA
Aban and Khorshid,https://en.wikipedia.org/wiki/Aban_and_Khorshid
Absent,https://en.wikipedia.org/wiki/Ausente_(film)
Academy,https://en.wikipedia.org/wiki/Academy_(2007_film)
Achilles,NA
The Best of Boys in Love,NA
Across the Universe,https://en.wikipedia.org/wiki/Across_the_Universe_(film)
Ajumma! Are You Krazy???,NA
An Act of Valour,https://en.wikipedia.org/wiki/An_Act_of_Valour
Adam & Steve,https://en.wikipedia.org/wiki/Adam_%26_Steve
Adão e Eva,https://en.wikipedia.org/wiki/Ad%C3%A3o_e_Eva
ADHURA,NA
The Adjuster,https://en.wikipedia.org/wiki/The_Adjuster
The Adonis Factor,https://en.wikipedia.org/wiki/The_Adonis_Factor
Adored,https://en.wikipedia.org/wiki/Adored_(film)
The Adventure of Iron Pussy,https://en.wikipedia.org/wiki/The_Adventure_of_Iron_Pussy
The Adventures of Felix,https://en.wikipedia.org/wiki/Dr%C3%B4le_de_F%C3%A9lix
"The Adventures of Priscilla, Queen of the Desert","https://en.wikipedia.org/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert"
The Adventures of Sebastian Cole,https://en.wikipedia.org/wiki/The_Adventures_of_Sebastian_Cole
Advise & Consent,https://en.wikipedia.org/wiki/Advise_%26_Consent_(film)
Affinity,https://en.wikipedia.org/wiki/Affinity_(film)
After Hours,https://en.wikipedia.org/wiki/After_Hours_(film)
After Louie,NA
After Sex,https://en.wikipedia.org/wiki/After_Sex_(2007_film)
After Stonewall,https://en.wikipedia.org/wiki/After_Stonewall
An Afternoon,NA
Afternoon Breezes,NA
Age 17,https://en.wikipedia.org/wiki/Age_17
The Ages of Lulu,https://en.wikipedia.org/wiki/The_Ages_of_Lulu
Agnes and His Brothers,https://en.wikipedia.org/wiki/Agnes_and_His_Brothers
Ai no Kotodama,NA
Aimée & Jaguar,https://en.wikipedia.org/wiki/Aim%C3%A9e_%26_Jaguar
Aishite Imasu 1941,https://en.wikipedia.org/wiki/Aishite_Imasu_1941:_Mahal_Kita
AKA,https://en.wikipedia.org/wiki/AKA_(film)
AKIBA,https://en.wikipedia.org/wiki/AKIBA_(film)
Akron,https://en.wikipedia.org/wiki/Akron_(2015_film)
Alaska Is a Drag,NA
Albert Nobbs,https://en.wikipedia.org/wiki/Albert_Nobbs
Aleksandr's Price,https://en.wikipedia.org/wiki/Aleksandr%27s_Price
Alex and Leo,NA
Alex and the Handyman,NA
Alexander,https://en.wikipedia.org/wiki/Alexander_(2004_film)
Alexander: The Other Side of Dawn,https://en.wikipedia.org/wiki/Alexander:_The_Other_Side_of_Dawn
Alexandria... Why?,https://en.wikipedia.org/wiki/Alexandria..._Why%3F
Algie the Miner,https://en.wikipedia.org/wiki/Algie_the_Miner
Alice,https://en.wikipedia.org/wiki/Alice_(2002_film)
Alive and Kicking,https://en.wikipedia.org/wiki/Indian_Summer_(1996_film)
All About Anna,https://en.wikipedia.org/wiki/All_About_Anna
All About Love,https://en.wikipedia.org/wiki/All_About_Love_(2010_film)
All About My Mother,https://en.wikipedia.org/wiki/All_About_My_Mother
All My Life,https://en.wikipedia.org/wiki/All_My_Life_(2008_film)
All Over Brazil,NA
All Over the Guy,https://en.wikipedia.org/wiki/All_Over_the_Guy
All Over Me,https://en.wikipedia.org/wiki/All_Over_Me_(film)
All the Queen's Men,https://en.wikipedia.org/wiki/All_the_Queen%27s_Men
All the Rage,https://en.wikipedia.org/wiki/All_the_Rage_(film)
All That Jazz,https://en.wikipedia.org/wiki/All_That_Jazz_(film)
All You Need Is Love – Meine Schwiegertochter ist ein Mann,https://en.wikipedia.org/wiki/All_You_Need_Is_Love_%E2%80%93_Meine_Schwiegertochter_ist_ein_Mann
"Shinjuku ni-chōme, Tokyo","https://en.wikipedia.org/wiki/Shinjuku_ni-ch%C5%8Dme,_Tokyo"
[1],NA
Alles wird gut,NA
Almost Adults,https://en.wikipedia.org/wiki/Almost_Adults
Almost Normal,https://en.wikipedia.org/wiki/Almost_Normal
Altitude Falling,NA
Alto,https://en.wikipedia.org/wiki/ALTO_(film)
Alucarda,https://en.wikipedia.org/wiki/Alucarda
The Amazing Truth About Queen Raquela,https://en.wikipedia.org/wiki/The_Amazing_Truth_About_Queen_Raquela
Amen,https://en.wikipedia.org/wiki/Amen_(2010_film)
American Beauty,https://en.wikipedia.org/wiki/American_Beauty_(1999_film)
American Buffalo,https://en.wikipedia.org/wiki/American_Buffalo_(film)
An American Crime,https://en.wikipedia.org/wiki/An_American_Crime
American Girl,https://en.wikipedia.org/wiki/American_Girl_(film)
American Vagabond,https://en.wikipedia.org/wiki/American_Vagabond
Amic/Amat,https://en.wikipedia.org/wiki/Beloved/Friend
Amnésie: L'énigme James Brighton,NA
Amor de hombre,https://en.wikipedia.org/wiki/Amor_de_hombre
Amores Possíveis,NA
Amour de Femme,https://en.wikipedia.org/wiki/Amour_de_Femme
Amphetamine,https://en.wikipedia.org/wiki/Amphetamine_(film)
Anatomy of Hell,https://en.wikipedia.org/wiki/Anatomy_of_Hell
And the Band Played On,https://en.wikipedia.org/wiki/And_the_Band_Played_On_(film)
And Then Came Lola,NA
And Then Came Summer,NA
And There You Are,NA
And Thou Shalt Love,https://en.wikipedia.org/wiki/And_Thou_Shalt_Love
Anders als die Andern,https://en.wikipedia.org/wiki/Different_from_the_Others
Anderson's Cross,https://en.wikipedia.org/wiki/Anderson%27s_Cross
Andre's Mother,https://en.wikipedia.org/wiki/Andre%27s_Mother
Andrew and Jeremy Get Married,https://en.wikipedia.org/wiki/Andrew_and_Jeremy_Get_Married
Ang Huling Cha-Cha Ni Anita,NA
Angels in America (miniseries),https://en.wikipedia.org/wiki/Angels_in_America_(miniseries)
Ang Lalake sa Parola,https://en.wikipedia.org/wiki/The_Man_in_the_Lighthouse
Ang Lalaki sa Buhay ni Selya,https://en.wikipedia.org/wiki/Ang_Lalaki_sa_Buhay_ni_Selya
Ang Lihim ni Antonio,https://en.wikipedia.org/wiki/Ang_Lihim_ni_Antonio
Ang Buhay ng Baklitang si Hermie,NA
Ang Pagdadalaga ni Maximo Oliveros,https://en.wikipedia.org/wiki/The_Blossoming_of_Maximo_Oliveros
An Angel Named Billy,https://en.wikipedia.org/wiki/An_Angel_Named_Billy
The Angelic Conversation,https://en.wikipedia.org/wiki/The_Angelic_Conversation_(film)
Anger Management,https://en.wikipedia.org/wiki/Anger_Management_(film)
Animals,NA
Another Country,https://en.wikipedia.org/wiki/Another_Country_(film)
Another Gay Movie,https://en.wikipedia.org/wiki/Another_Gay_Movie
Another Gay Sequel: Gays Gone Wild!,https://en.wikipedia.org/wiki/Another_Gay_Sequel:_Gays_Gone_Wild!
Another Love Story,NA
Another Way,https://en.wikipedia.org/wiki/Another_Way_(film)
Another's Body,NA
Antarctica,NA
Anthem,https://en.wikipedia.org/wiki/Anthem_(film)
Antique,https://en.wikipedia.org/wiki/Antique_(film)
Antônia,https://en.wikipedia.org/wiki/Ant%C3%B4nia
Anu Dalam Botol,NA
A Penis in a Bottle,NA
Any Day Now,https://en.wikipedia.org/wiki/Any_Day_Now_(2012_film)
Any Mother's Son,https://en.wikipedia.org/wiki/Any_Mother%27s_Son
Anyone and Everyone,NA
Apariencias,https://en.wikipedia.org/wiki/Apariencias
Apart,NA
Apart from Hugh,NA
Apartment Zero,https://en.wikipedia.org/wiki/Apartment_Zero
The Apple Tree,NA
Appropriate Behaviour,https://en.wikipedia.org/wiki/Appropriate_Behaviour
April's Shower,https://en.wikipedia.org/wiki/April%27s_Shower
Arachnia,NA
Ararat,https://en.wikipedia.org/wiki/Ararat_(film)
Area X,NA
Ardhanaari,https://en.wikipedia.org/wiki/Ardhanaari
Arisan!,https://en.wikipedia.org/wiki/Arisan!
Arizona Sky,https://en.wikipedia.org/wiki/Arizona_Sky
Army Daze,https://en.wikipedia.org/wiki/Army_Daze
Army of Lovers or Revolt of the Perverts,https://en.wikipedia.org/wiki/Army_of_Lovers_or_Revolt_of_the_Perverts
The Art of Being Straight,https://en.wikipedia.org/wiki/The_Art_of_Being_Straight
Art School Confidential,https://en.wikipedia.org/wiki/Art_School_Confidential_(film)
As Good as It Gets,https://en.wikipedia.org/wiki/As_Good_as_It_Gets
As Is,https://en.wikipedia.org/wiki/As_Is_(film)
As Luck Would Have It,NA
As You Are,https://en.wikipedia.org/wiki/As_You_Are_(film)
Ashamed,https://en.wikipedia.org/wiki/Ashamed_(2010_film)
Ashley,https://en.wikipedia.org/wiki/Ashley_(film)
Ask Not,NA
"Astoria, Queens",NA
Atashi wa juice,NA
Atrapadas,https://en.wikipedia.org/wiki/Atrapadas
The Attack of the Giant Moussaka,https://en.wikipedia.org/wiki/The_Attack_of_the_Giant_Moussaka
"Au Pair, Kansas",NA
August,https://en.wikipedia.org/wiki/August_(2011_film)
Ausente,https://en.wikipedia.org/wiki/Ausente_(film)
Avant que j'oublie,https://en.wikipedia.org/wiki/Before_I_Forget_(film)
Awakening,NA
The Awakening of Love,https://en.wikipedia.org/wiki/Il_Vento_e_le_Rose
Away (A)wake,NA
Away With Me,NA
Away with Words,https://en.wikipedia.org/wiki/Away_with_Words
An Awfully Big Adventure,https://en.wikipedia.org/wiki/An_Awfully_Big_Adventure
Azul y no tan rosa,https://en.wikipedia.org/wiki/Blue_and_Not_So_Pink
Azuloscurocasinegro,https://en.wikipedia.org/wiki/Azuloscurocasinegro
B.,NA
B. Monkey,https://en.wikipedia.org/wiki/B._Monkey
The Baby Formula,https://en.wikipedia.org/wiki/The_Baby_Formula
Baby Love,NA
Back Soon,NA
Bad Boy Street,NA
Bad Education,https://en.wikipedia.org/wiki/Bad_Education_(film)
Bad Girls Go to Hell,https://en.wikipedia.org/wiki/Bad_Girls_Go_to_Hell
Bad Romance,https://en.wikipedia.org/wiki/Bad_Romance_(film)
Baisers cachés,https://en.wikipedia.org/wiki/Hidden_Kisses
Baka Bukas,https://en.wikipedia.org/wiki/Baka_Bukas
Ballot Measure 9,https://en.wikipedia.org/wiki/Ballot_Measure_9
Ballroom Rules,NA
Bam Bam and Celeste,https://en.wikipedia.org/wiki/Bam_Bam_and_Celeste
Bambi,https://en.wikipedia.org/wiki/Bambi_(2013_film)
Bangkok Love Story,https://en.wikipedia.org/wiki/Bangkok_Love_Story
Bar Girls,https://en.wikipedia.org/wiki/Bar_Girls
Barefeet,NA
Barrio Boy,NA
Basic Instinct,https://en.wikipedia.org/wiki/Basic_Instinct
Bathhouse,NA
Battle of the Sexes,https://en.wikipedia.org/wiki/Battle_of_the_Sexes_(film)
Be Like Others,https://en.wikipedia.org/wiki/Be_Like_Others
Be Mine,NA
Be with Me,https://en.wikipedia.org/wiki/Be_with_Me
Beach Rats,https://en.wikipedia.org/wiki/Beach_Rats
BearCity,https://en.wikipedia.org/wiki/BearCity
BearCity 2: The Proposal,https://en.wikipedia.org/wiki/BearCity_2:_The_Proposal
Bear Cub,https://en.wikipedia.org/wiki/Cachorro
Beastly Boyz,https://en.wikipedia.org/wiki/Beastly_Boyz
Beat,https://en.wikipedia.org/wiki/Beat_(2000_film)
Beatific Vision,NA
Beau travail,https://en.wikipedia.org/wiki/Beau_travail
Beautiful Boxer,https://en.wikipedia.org/wiki/Beautiful_Boxer
Beautiful Darling,https://en.wikipedia.org/wiki/Beautiful_Darling
Beautiful Mystery,NA
Beautiful Thing,https://en.wikipedia.org/wiki/Beautiful_Thing_(film)
Beauty,https://en.wikipedia.org/wiki/Beauty_(2011_film)
Beauty and Sadness,https://en.wikipedia.org/wiki/Beauty_and_Sadness_(novel)
Becoming Blond,NA
Bedrooms and Hallways,https://en.wikipedia.org/wiki/Bedrooms_and_Hallways
Beefcake,https://en.wikipedia.org/wiki/Beefcake_(film)
