country	dominant_gender_country	international_rank	country_full
sgp	Female	1	Singapore
kor	Male	2	Korea, Rep. of
twn	Female	3	Chinese Taipei
hkg	Male	4	Hong Kong SAR
jpn	Female	5	Japan
rus	Male	6	Russian Federation
kaz	Female	7	Kazakhstan
hun	Male	8	Hungary
eng	Female	9	England
usa	Male	10	United States
svn	Male	11	Slovenia
isr	Male	12	Israel
nor	Female	13	Norway
aus	Male	14	Australia
mys	Female	15	Malaysia
ltu	Female	16	Lithuania
nzl	Male	17	New Zealand
swe	Male	18	Sweden
ita	Male	19	Italy
bhr	Female	20	Bahrain
tur	Female	21	Turkey
are	Female	22	United Arab Emirates
geo	Male	23	Georgia
tha	Female	24	Thailand
irn	Male	25	Iran, Islamic Rep. of
qat	Female	26	Qatar
lbn	Male	27	Lebanon
chl	Male	28	Chile
omn	Female	29	Oman
bwa	Female	30	Botswana
jor	Female	31	Jordan
mar	Female	32	Morocco
zaf	Female	33	South Africa
sau	Female	34	Saudi Arabia
