mixed_row	point_row	id	point_column	mixed_column	gender	country	conversation	gender_col	gender_column	country_column	country_row
4	1	1	1	1	Male	USA	not_lgbtq	0.0	0.0	0.0	0.0
4	1	11	2	2	Male	USA	not_lgbtq	1.0	1.0	1.0	0.0
4	1	31	4	3	Male	USA	not_lgbtq	3.0	3.0	3.0	0.0
4	2	22	3	4	Male	USA	not_lgbtq	2.0	2.0	2.0	1.0
4	3	43	5	5	Male	New Zealand	not_lgbtq	4.0	4.0	5.0	2.0
4	5	15	2	6	Male	USA	not_lgbtq	1.0	1.0	1.0	4.0
4	5	65	7	7	Female	New Zealand	lgbtq	7.0	7.0	7.0	4.0
4	6	26	3	8	Male	Ireland	not_lgbtq	2.0	2.0	2.0	7.0
4	6	56	6	9	Male	Germany	not_lgbtq	5.0	5.0	6.0	7.0
4	7	37	4	10	Male	Ireland	not_lgbtq	3.0	3.0	3.0	8.0
4	9	79	8	11	Female	Germany	not_lgbtq	8.0	8.0	8.0	10.0
4	10	110	11	12	Female	Other	not_lgbtq	11.0	11.0	12.0	11.0
3	1	21	3	1	Male	USA	not_lgbtq	2.0	2.0	2.0	0.0
3	2	12	2	2	Male	USA	not_lgbtq	1.0	1.0	1.0	1.0
3	3	3	1	3	Male	USA	not_lgbtq	0.0	0.0	0.0	2.0
3	3	53	6	4	Male	New Zealand	not_lgbtq	5.0	5.0	6.0	2.0
3	4	54	6	5	Male	New Zealand	not_lgbtq	5.0	5.0	6.0	3.0
3	6	46	5	6	Male	Germany	not_lgbtq	4.0	4.0	5.0	7.0
3	6	96	10	7	Female	Other	not_lgbtq	10.0	10.0	11.0	7.0
3	6	116	12	8	Other/Unknown	Other	not_lgbtq	13.0	13.0	13.0	7.0
3	8	8	1	9	Male	Ireland	not_lgbtq	0.0	0.0	0.0	9.0
3	8	108	11	10	Female	Other	not_lgbtq	11.0	11.0	12.0	9.0
3	9	89	9	11	Female	Other	not_lgbtq	9.0	9.0	10.0	10.0
3	10	20	2	12	Male	Ireland	not_lgbtq	1.0	1.0	1.0	11.0
5	1	41	5	1	Male	New Zealand	not_lgbtq	4.0	4.0	5.0	0.0
5	1	61	7	2	Female	New Zealand	not_lgbtq	7.0	7.0	7.0	0.0
5	1	101	11	3	Female	United Kingdom	not_lgbtq	11.0	11.0	12.0	0.0
5	2	92	10	4	Female	United Kingdom	not_lgbtq	10.0	10.0	11.0	1.0
5	2	102	11	5	Female	United Kingdom	not_lgbtq	11.0	11.0	12.0	1.0
5	4	24	3	6	Male	USA	not_lgbtq	2.0	2.0	2.0	3.0
5	4	94	10	7	Female	United Kingdom	not_lgbtq	10.0	10.0	11.0	3.0
5	6	66	7	8	Female	Germany	not_lgbtq	7.0	7.0	7.0	7.0
5	6	86	9	9	Female	Other	not_lgbtq	9.0	9.0	10.0	7.0
5	7	107	11	10	Female	Other	not_lgbtq	11.0	11.0	12.0	8.0
5	8	118	12	11	Other/Unknown	Other	not_lgbtq	13.0	13.0	13.0	9.0
5	10	120	12	12	Other/Unknown	Other	not_lgbtq	13.0	13.0	13.0	11.0
7	1	51	6	1	Male	New Zealand	not_lgbtq	5.0	5.0	6.0	0.0
7	4	44	5	2	Male	New Zealand	not_lgbtq	4.0	4.0	5.0	3.0
7	4	64	7	3	Female	New Zealand	not_lgbtq	7.0	7.0	7.0	3.0
7	5	35	4	4	Male	USA	not_lgbtq	3.0	3.0	3.0	4.0
7	5	45	5	5	Male	New Zealand	not_lgbtq	4.0	4.0	5.0	4.0
7	5	55	6	6	Male	New Zealand	lgbtq	5.0	5.0	6.0	4.0
7	5	85	9	7	Female	United Kingdom	not_lgbtq	9.0	9.0	10.0	4.0
7	5	115	12	8	Other/Unknown	United Kingdom	not_lgbtq	13.0	13.0	13.0	4.0
7	7	17	2	9	Male	Ireland	not_lgbtq	1.0	1.0	1.0	8.0
7	7	97	10	10	Female	Other	not_lgbtq	10.0	10.0	11.0	8.0
7	8	38	4	11	Male	Ireland	not_lgbtq	3.0	3.0	3.0	9.0
7	9	99	10	12	Female	Other	not_lgbtq	10.0	10.0	11.0	10.0
9	1	71	8	1	Female	New Zealand	not_lgbtq	8.0	8.0	8.0	0.0
9	2	62	7	2	Female	New Zealand	not_lgbtq	7.0	7.0	7.0	1.0
9	3	93	10	3	Female	United Kingdom	not_lgbtq	10.0	10.0	11.0	2.0
9	3	103	11	4	Female	United Kingdom	not_lgbtq	11.0	11.0	12.0	2.0
9	4	104	11	5	Female	United Kingdom	not_lgbtq	11.0	11.0	12.0	3.0
9	7	57	6	6	Male	Germany	not_lgbtq	5.0	5.0	6.0	8.0
9	8	28	3	7	Male	Ireland	not_lgbtq	2.0	2.0	2.0	9.0
9	8	68	7	8	Female	Germany	not_lgbtq	7.0	7.0	7.0	9.0
9	8	98	10	9	Female	Other	not_lgbtq	10.0	10.0	11.0	9.0
9	9	39	4	10	Male	Ireland	not_lgbtq	3.0	3.0	3.0	10.0
9	9	59	6	11	Male	Germany	not_lgbtq	5.0	5.0	6.0	10.0
9	9	69	7	12	Female	Germany	not_lgbtq	7.0	7.0	7.0	10.0
2	1	81	9	1	Female	United Kingdom	not_lgbtq	9.0	9.0	10.0	0.0
2	1	91	10	2	Female	United Kingdom	not_lgbtq	10.0	10.0	11.0	0.0
2	2	82	9	3	Female	United Kingdom	not_lgbtq	9.0	9.0	10.0	1.0
2	4	14	2	4	Male	USA	not_lgbtq	1.0	1.0	1.0	3.0
2	4	84	9	5	Female	United Kingdom	not_lgbtq	9.0	9.0	10.0	3.0
2	5	75	8	6	Female	New Zealand	not_lgbtq	8.0	8.0	8.0	4.0
2	7	67	7	7	Female	Germany	not_lgbtq	7.0	7.0	7.0	8.0
2	7	87	9	8	Female	Other	not_lgbtq	9.0	9.0	10.0	8.0
2	9	19	2	9	Male	Ireland	not_lgbtq	1.0	1.0	1.0	10.0
2	10	10	1	10	Male	Ireland	not_lgbtq	0.0	0.0	0.0	11.0
2	10	50	5	11	Male	Germany	not_lgbtq	4.0	4.0	5.0	11.0
2	10	100	10	12	Female	Other	not_lgbtq	10.0	10.0	11.0	11.0
8	1	111	12	1	Other/Unknown	United Kingdom	not_lgbtq	13.0	13.0	13.0	0.0
8	2	2	1	2	Male	USA	not_lgbtq	0.0	0.0	0.0	1.0
8	2	32	4	3	Male	USA	not_lgbtq	3.0	3.0	3.0	1.0
8	3	13	2	4	Male	USA	not_lgbtq	1.0	1.0	1.0	2.0
8	3	63	7	5	Female	New Zealand	not_lgbtq	7.0	7.0	7.0	2.0
8	4	4	1	6	Male	USA	not_lgbtq	0.0	0.0	0.0	3.0
8	4	74	8	7	Female	New Zealand	not_lgbtq	8.0	8.0	8.0	3.0
8	5	25	3	8	Male	USA	not_lgbtq	2.0	2.0	2.0	4.0
8	5	105	11	9	Female	United Kingdom	not_lgbtq	11.0	11.0	12.0	4.0
8	6	106	11	10	Female	Other	not_lgbtq	11.0	11.0	12.0	7.0
8	7	7	1	11	Male	Ireland	not_lgbtq	0.0	0.0	0.0	8.0
8	9	49	5	12	Male	Germany	not_lgbtq	4.0	4.0	5.0	10.0
10	2	42	5	1	Male	New Zealand	not_lgbtq	4.0	4.0	5.0	1.0
10	2	52	6	2	Male	New Zealand	not_lgbtq	5.0	5.0	6.0	1.0
10	3	73	8	3	Female	New Zealand	not_lgbtq	8.0	8.0	8.0	2.0
10	3	83	9	4	Female	United Kingdom	not_lgbtq	9.0	9.0	10.0	2.0
10	3	113	12	5	Other/Unknown	United Kingdom	not_lgbtq	13.0	13.0	13.0	2.0
10	6	6	1	6	Male	Ireland	not_lgbtq	0.0	0.0	0.0	7.0
10	6	76	8	7	Female	Germany	not_lgbtq	8.0	8.0	8.0	7.0
10	7	77	8	8	Female	Germany	not_lgbtq	8.0	8.0	8.0	8.0
10	9	119	12	9	Other/Unknown	Other	not_lgbtq	13.0	13.0	13.0	10.0
10	10	30	3	10	Male	Ireland	not_lgbtq	2.0	2.0	2.0	11.0
10	10	60	6	11	Male	Germany	not_lgbtq	5.0	5.0	6.0	11.0
10	10	80	8	12	Female	Germany	not_lgbtq	8.0	8.0	8.0	11.0
1	2	72	8	1	Female	New Zealand	not_lgbtq	8.0	8.0	8.0	1.0
1	3	23	3	2	Male	USA	not_lgbtq	2.0	2.0	2.0	2.0
1	3	33	4	3	Male	USA	not_lgbtq	3.0	3.0	3.0	2.0
1	5	95	10	4	Female	United Kingdom	not_lgbtq	10.0	10.0	11.0	4.0
1	7	47	5	5	Male	Germany	not_lgbtq	4.0	4.0	5.0	8.0
1	8	18	2	6	Male	Ireland	not_lgbtq	1.0	1.0	1.0	9.0
1	8	88	9	7	Female	Other	not_lgbtq	9.0	9.0	10.0	9.0
1	9	29	3	8	Male	Ireland	not_lgbtq	2.0	2.0	2.0	10.0
1	9	109	11	9	Female	Other	not_lgbtq	11.0	11.0	12.0	10.0
1	10	40	4	10	Male	Ireland	not_lgbtq	3.0	3.0	3.0	11.0
1	10	70	7	11	Female	Germany	not_lgbtq	7.0	7.0	7.0	11.0
1	10	90	9	12	Female	Other	not_lgbtq	9.0	9.0	10.0	11.0
6	2	112	12	1	Other/Unknown	United Kingdom	not_lgbtq	13.0	13.0	13.0	1.0
6	4	34	4	2	Male	USA	not_lgbtq	3.0	3.0	3.0	3.0
6	4	114	12	3	Other/Unknown	United Kingdom	not_lgbtq	13.0	13.0	13.0	3.0
6	5	5	1	4	Male	USA	not_lgbtq	0.0	0.0	0.0	4.0
6	6	16	2	5	Male	Ireland	not_lgbtq	1.0	1.0	1.0	7.0
6	6	36	4	6	Male	Ireland	not_lgbtq	3.0	3.0	3.0	7.0
6	7	27	3	7	Male	Ireland	not_lgbtq	2.0	2.0	2.0	8.0
6	7	117	12	8	Other/Unknown	Other	not_lgbtq	13.0	13.0	13.0	8.0
6	8	48	5	9	Male	Germany	not_lgbtq	4.0	4.0	5.0	9.0
6	8	58	6	10	Male	Germany	not_lgbtq	5.0	5.0	6.0	9.0
6	8	78	8	11	Female	Germany	not_lgbtq	8.0	8.0	8.0	9.0
6	9	9	1	12	Male	Ireland	not_lgbtq	0.0	0.0	0.0	10.0
