country	international_rank	country_mean_correct_ratio	question	students_per_question	students_per_question_female	students_per_question_male	correct_ratio_per_question	correct_ratio_per_question_female	correct_ratio_per_question_male	content_domain	cognitive_domain	topic_area	question_type	question_rank	diff_male_female	dominant_gender	label	correct_ratio_per_question_range
sgp	1	0.7388210852475802	M052505	870	414	456	0.9586206896551724	0.966183574879227	0.9517543859649122	Data and Chance	Knowing	Data Interpretation	Multiple Choice	1	-0.014429188914314772	Female	Pizzas sold by a shop	91-100
sgp	1	0.7388210852475802	M052413	870	425	445	0.9494252873563218	0.9623529411764706	0.9370786516853933	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	2	-0.02527428949107735	Female	Solve given numeric expression	91-100
sgp	1	0.7388210852475802	M042052	877	429	448	0.9464082098061574	0.9743589743589743	0.9196428571428571	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	3	-0.054716117216117244	Female	Ratio equivalent to 1:4	91-100
sgp	1	0.7388210852475802	M052209	875	410	465	0.9462857142857143	0.9560975609756097	0.9376344086021505	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	4	-0.01846315237345919	Female	Decimal closest in size to 3/4.	91-100
sgp	1	0.7388210852475802	M062208A	881	416	465	0.9432463110102156	0.9639423076923077	0.9247311827956989	Number	Knowing	Whole Numbers	Multiple Choice	5	-0.03921112489660883	Female	T or F for n - addition	91-100
sgp	1	0.7388210852475802	M042182	877	429	448	0.9384264538198404	0.9557109557109557	0.921875	Number	Applying	Fractions, Decimals, and Integers	Multiple Choice	6	-0.033835955710955656	Female	How far did john jump	91-100
sgp	1	0.7388210852475802	M042203	872	405	467	0.9346330275229358	0.9358024691358025	0.9336188436830836	Geometry	Applying	Geometric Shapes	Multiple Choice	7	-0.0021836254527188848	Female	What is the value of x	91-100
sgp	1	0.7388210852475802	M042194	872	415	457	0.9311926605504587	0.9253012048192771	0.936542669584245	Number	Knowing	Ratio, Proportion and Percent	Free Response	8	0.011241464764967901	Male	Present of games the team lose	91-100
sgp	1	0.7388210852475802	M052103	875	410	465	0.928	0.948780487804878	0.9096774193548387	Algebra	Knowing	Expressions and Operations	Multiple Choice	9	-0.0391030684500393	Female	Value of y when x = 25	91-100
sgp	1	0.7388210852475802	M052229	872	435	437	0.9277522935779816	0.9172413793103448	0.9382151029748284	Number	Knowing	Fractions, Decimals, and Integers	Free Response	10	0.02097372366448358	Male	Convert decimal to a fraction.	91-100
sgp	1	0.7388210852475802	M052419B	870	457	413	0.9218390804597701	0.949671772428884	0.8910411622276029	Data and Chance	Knowing	Data Interpretation	Multiple Choice	11	-0.05863061020128113	Female	Difference in percentages	91-100
sgp	1	0.7388210852475802	M062223	871	414	457	0.9161882893226176	0.9371980676328503	0.8971553610503282	Algebra	Applying	Expressions and Operations	Multiple Choice	12	-0.04004270658252207	Female	Expression for perimeter of a pentagon	91-100
sgp	1	0.7388210852475802	M062335	870	434	436	0.9160919540229885	0.9101382488479263	0.9220183486238532	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	13	0.011880099775926967	Male	Select equivalent ratio to 3:2	91-100
sgp	1	0.7388210852475802	M062194	874	456	418	0.914187643020595	0.918859649122807	0.9090909090909091	Geometry	Reasoning	Geometric Measurement	Multiple Choice	14	-0.009768740031897982	Female	Number of cubes in solid figure	91-100
sgp	1	0.7388210852475802	M062164	871	414	457	0.912743972445465	0.9251207729468599	0.9015317286652079	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	15	-0.023589044281651983	Female	Number to add to 2/5 to get 0.42	91-100
sgp	1	0.7388210852475802	M062329	869	402	467	0.9102416570771001	0.9029850746268657	0.9164882226980728	Number	Knowing	Whole Numbers	Multiple Choice	16	0.013503148071207116	Male	Two million, fifty thousand, three hundred seven	91-100
sgp	1	0.7388210852475802	M062076	874	456	418	0.9096109839816934	0.9210526315789473	0.8971291866028708	Algebra	Applying	Expressions and Operations	Multiple Choice	17	-0.02392344497607657	Female	Room divided into classroom M and laboratory L	91-100
sgp	1	0.7388210852475802	M062208D	881	416	465	0.905788876276958	0.9278846153846154	0.886021505376344	Number	Knowing	Whole Numbers	Multiple Choice	18	-0.041863110008271365	Female	T or F for n - division	91-100
sgp	1	0.7388210852475802	M042183	872	405	467	0.9002293577981652	0.891358024691358	0.9079229122055674	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	19	0.01656488751420937	Male	Find the number	91-100
sgp	1	0.7388210852475802	M062208C	881	416	465	0.9001135073779796	0.9278846153846154	0.875268817204301	Number	Knowing	Whole Numbers	Multiple Choice	20	-0.052615798180314366	Female	T or F for n - multiplication	91-100
sgp	1	0.7388210852475802	M052058A	872	435	437	0.8979357798165137	0.9080459770114943	0.8878718535469108	Number	Applying	Whole Numbers	Free Response	21	-0.02017412346458347	Female	Time when Pat finishes last lap	81-90
sgp	1	0.7388210852475802	M052047	870	414	456	0.8942528735632184	0.8816425120772947	0.9057017543859649	Geometry	Applying	Geometric Shapes	Free Response	22	0.02405924230867018	Male	Value of angle y in a triangle	81-90
sgp	1	0.7388210852475802	M052502	870	425	445	0.8942528735632184	0.9223529411764706	0.8674157303370786	Data and Chance	Applying	Data Interpretation	Free Response	23	-0.05493721083939196	Female	Store with lowest price per pair	81-90
sgp	1	0.7388210852475802	M052079	870	457	413	0.8942528735632184	0.9102844638949672	0.8765133171912833	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	24	-0.03377114670368386	Female	Length of shorter string piece	81-90
sgp	1	0.7388210852475802	M042049	877	429	448	0.8928164196123147	0.9230769230769231	0.8638392857142857	Algebra	Knowing	Expressions and Operations	Multiple Choice	25	-0.05923763736263743	Female	What is value of 3x+3y	81-90
sgp	1	0.7388210852475802	M042060	872	405	467	0.8922018348623854	0.908641975308642	0.8779443254817987	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	26	-0.03069764982684331	Female	Fraction by which price reduced by	81-90
sgp	1	0.7388210852475802	M042015	872	415	457	0.8922018348623854	0.9180722891566265	0.8687089715536105	Number	Knowing	Whole Numbers	Multiple Choice	27	-0.049363317603016044	Female	What is the value of cube of 3	81-90
sgp	1	0.7388210852475802	M052426	870	425	445	0.8919540229885058	0.9058823529411765	0.8786516853932584	Data and Chance	Knowing	Data Interpretation	Multiple Choice	28	-0.02723066754791803	Female	Number of goals of 4 soccer teams	81-90
sgp	1	0.7388210852475802	M062142	871	414	457	0.8909299655568312	0.8888888888888888	0.8927789934354485	Number	Applying	Ratio, Proportion and Percent	Free Response	29	0.0038901045465596917	Male	Shade 40% of the rectangle	81-90
sgp	1	0.7388210852475802	M052064	875	410	465	0.8902857142857142	0.9219512195121952	0.8623655913978494	Algebra	Knowing	Expressions and Operations	Multiple Choice	30	-0.05958562811434576	Female	Value of the given expression	81-90
sgp	1	0.7388210852475802	M052215	870	457	413	0.8896551724137931	0.8949671772428884	0.8837772397094431	Number	Knowing	Fractions, Decimals, and Integers	Free Response	31	-0.011189937533445327	Female	Fraction of diagram shaded	81-90
sgp	1	0.7388210852475802	M052017	870	414	456	0.8839080459770114	0.9009661835748792	0.868421052631579	Number	Knowing	Whole Numbers	Multiple Choice	32	-0.03254513094330025	Female	Equivalent numeric expression	81-90
sgp	1	0.7388210852475802	M062123A	870	434	436	0.8793103448275862	0.9193548387096774	0.8394495412844036	Data and Chance	Knowing	Characteristics of Data Sets	Multiple Choice	33	-0.07990529742527375	Female	Relay race - mean time of runners	81-90
sgp	1	0.7388210852475802	M062067	873	440	433	0.8785796105383734	0.8886363636363637	0.8683602771362586	Algebra	Knowing	Equations and Inequalities	Multiple Choice	34	-0.02027608650010504	Female	Find value of x when y=5	81-90
sgp	1	0.7388210852475802	M052034	870	425	445	0.8781609195402299	0.9058823529411765	0.851685393258427	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	35	-0.05419695968274951	Female	Fraction wanting to go on a trip	81-90
sgp	1	0.7388210852475802	M052067	870	457	413	0.8781609195402299	0.888402625820569	0.8668280871670703	Algebra	Knowing	Expressions and Operations	Multiple Choice	36	-0.021574538653498676	Female	Value of given expression	81-90
sgp	1	0.7388210852475802	M042234	872	405	467	0.8772935779816514	0.9037037037037037	0.854389721627409	Algebra	Knowing	Equations and Inequalities	Multiple Choice	37	-0.04931398207629467	Female	What is the value of x	81-90
