country	correct_ratio_per_question_range	gender_bins	international_rank	question	correct_ratio_per_question	correct_ratio_per_question_female	correct_ratio_per_question_male	content_domain	cognitive_domain	topic_area	question_type	question_rank	diff_male_female	label	gender_bins_order	correct_ratio_per_question_range_order
sgp	41-50	(-0.21,-0.19]	1	M042302C	0.47206385404789053	0.5710955710955711	0.37723214285714285	Number	Reasoning	Whole Numbers	Free Response	203	-0.19386342823842823	Which plan is less expensive	1	1
sgp	41-50	(-0.0925,-0.0729]	1	M062341	0.47880870561282934	0.5204545454545455	0.43648960739030024	Algebra	Knowing	Relationships and Functions	Multiple Choice	202	-0.08396493806424526	Slope of line y=3x-1	2	2
sgp	41-50	(-0.0925,-0.0729]	1	M042197	0.411697247706422	0.45185185185185184	0.37687366167023556	Algebra	Reasoning	Relationships and Functions	Free Response	206	-0.07497819018161628	Rule to get terms in the pattern	1	3
sgp	41-50	(-0.0729,-0.0533]	1	M052121B	0.49770114942528737	0.5289855072463768	0.4692982456140351	Algebra	Reasoning	Relationships and Functions	Free Response	199	-0.059687261632341726	Area of the nth square	5	4
sgp	41-50	(-0.0533,-0.0338]	1	M052046	0.41857798165137616	0.4367816091954023	0.40045766590389015	Geometry	Reasoning	Location and Movement	Multiple Choice	205	-0.03632394329151217	Rotation and reflection	1	5
sgp	41-50	(-0.0338,-0.0142]	1	M052048	0.4885057471264368	0.49671772428884026	0.4794188861985472	Geometry	Applying	Geometric Shapes	Free Response	200	-0.017298838090293034	Lines of symmetry for pentagon	1	6
sgp	41-50	(0.0249,0.0445]	1	M052041	0.4674285714285714	0.44878048780487806	0.4838709677419355	Geometry	Reasoning	Geometric Shapes	Free Response	204	0.03509047993705744	Height of the building	2	7
sgp	41-50	(0.0249,0.0445]	1	M062301	0.4862700228832952	0.46710526315789475	0.507177033492823	Geometry	Reasoning	Geometric Shapes	Free Response	201	0.0400717703349282	Sculpture from solid cube - number of faces	3	8
sgp	41-50	(0.123,0.142]	1	M062115	0.4016110471806674	0.3333333333333333	0.4603854389721627	Data and Chance	Applying	Chance	Multiple Choice	207	0.1270521056388294	Marble maze with intersections	1	9
sgp	51-60	(-0.132,-0.112]	1	M042093	0.5575826681870011	0.6223776223776224	0.4955357142857143	Algebra	Applying	Expressions and Operations	Free Response	189	-0.1268419080919081	Temperature at mountain top	1	1
