correct_bins	gender_bins
(0.0014,0.0411]	(0.221,0.241]
(0.0411,0.0799]	(0.201,0.221]
(0.0799,0.119]	(0.182,0.201]
(0.119,0.157]	(0.162,0.182]
(0.157,0.196]	(0.142,0.162]
(0.196,0.235]	(0.123,0.142]
(0.235,0.274]	(0.103,0.123]
(0.274,0.312]	(0.0837,0.103]
(0.312,0.351]	(0.0641,0.0837]
(0.351,0.39]	(0.0445,0.0641]
(0.39,0.429]	(0.0249,0.0445]
(0.429,0.467]	(0.00538,0.0249]
(0.467,0.506]	(-0.0142,0.00538]
(0.506,0.545]	(-0.0338,-0.0142]
(0.545,0.584]	(-0.0533,-0.0338]
(0.584,0.622]	(-0.0729,-0.0533]
(0.622,0.661]	(-0.0925,-0.0729]
(0.661,0.7]	(-0.112,-0.0925]
(0.7,0.739]	(-0.132,-0.112]
(0.739,0.777]	(-0.151,-0.132]
(0.777,0.816]	(-0.171,-0.151]
(0.816,0.855]	(-0.19,-0.171]
(0.855,0.894]	(-0.21,-0.19]
(0.894,0.933]	(-0.229,-0.21]
(0.933,0.972]	(-0.25,-0.229]
