country	content_domain	cognitive_domain	mean_success_rate	mean_rank
sgp	Number	Reasoning	0.672825495447173	144.33333333333334
sgp	Algebra	Knowing	0.7333964467013326	112.3076923076923
sgp	Algebra	Reasoning	0.6332709566572884	158.07692307692307
sgp	Geometry	Reasoning	0.6334446879874036	151.27777777777777
sgp	Geometry	Applying	0.7214971791912801	116.81818181818181
sgp	Data and Chance	Applying	0.7256757658083872	112.47619047619048
sgp	Algebra	Applying	0.6874688330174531	128.125
sgp	Data and Chance	Knowing	0.8234993621571348	71.35714285714286
sgp	Number	Applying	0.7755725435777874	96.57142857142857
sgp	Data and Chance	Reasoning	0.6190054710480999	161.0
sgp	Number	Knowing	0.8753356339595716	41.096774193548384
sgp	Geometry	Knowing	0.7941428828786997	91.0
kor	Geometry	Applying	0.7031050803400828	101.54545454545455
kor	Data and Chance	Reasoning	0.5673710758853353	153.0
kor	Number	Reasoning	0.5992941656685731	147.22222222222223
kor	Geometry	Reasoning	0.6382498952891588	134.05555555555554
kor	Algebra	Reasoning	0.6269182540740433	144.3846153846154
kor	Algebra	Applying	0.6775125522306582	123.04166666666667
kor	Algebra	Knowing	0.6762929662460561	123.1923076923077
kor	Number	Knowing	0.8022422028261882	68.25806451612904
kor	Number	Applying	0.7197138139624147	106.39285714285714
kor	Data and Chance	Applying	0.700932200282352	110.33333333333333
kor	Data and Chance	Knowing	0.8332426903694896	56.0
kor	Geometry	Knowing	0.8719038715900521	33.666666666666664
twn	Number	Knowing	0.7907250329095453	63.67741935483871
twn	Data and Chance	Applying	0.698709354475111	110.85714285714286
twn	Algebra	Knowing	0.6762671743630737	115.6923076923077
twn	Geometry	Reasoning	0.6193788633528864	136.22222222222223
twn	Geometry	Applying	0.7114659884005025	103.36363636363636
twn	Algebra	Applying	0.6799632211805433	116.54166666666667
twn	Data and Chance	Reasoning	0.5290457229730303	178.66666666666666
twn	Algebra	Reasoning	0.6644976025709909	127.3076923076923
twn	Number	Applying	0.7075457794811697	108.96428571428571
twn	Number	Reasoning	0.5774451343108729	154.66666666666666
twn	Data and Chance	Knowing	0.7947993858552601	69.07142857142857
twn	Geometry	Knowing	0.75789989849636	83.33333333333333
hkg	Number	Reasoning	0.5425550198010213	162.55555555555554
hkg	Algebra	Applying	0.617098716033359	128.58333333333334
hkg	Data and Chance	Applying	0.7061751309816601	102.14285714285714
hkg	Algebra	Knowing	0.6496626934498099	115.65384615384616
hkg	Geometry	Reasoning	0.6050519846784984	144.38888888888889
hkg	Geometry	Applying	0.6914058450967326	108.68181818181819
hkg	Data and Chance	Reasoning	0.5772118751652944	155.0
hkg	Algebra	Reasoning	0.5665903539243985	159.6153846153846
hkg	Number	Applying	0.7111637667146471	106.32142857142857
hkg	Number	Knowing	0.8369727000543835	45.70967741935484
hkg	Data and Chance	Knowing	0.8039590773329319	63.92857142857143
hkg	Geometry	Knowing	0.7713590730687244	78.33333333333333
jpn	Geometry	Reasoning	0.5753712387163981	136.33333333333334
jpn	Number	Reasoning	0.5719389366591529	147.44444444444446
jpn	Data and Chance	Reasoning	0.5532887433166072	149.16666666666666
jpn	Algebra	Knowing	0.6035333367184083	131.76923076923077
jpn	Geometry	Applying	0.6804160167193954	96.68181818181819
jpn	Algebra	Applying	0.6593412045580876	114.04166666666667
jpn	Number	Knowing	0.7420408832452517	77.12903225806451
jpn	Number	Applying	0.6449110316058203	120.14285714285714
jpn	Algebra	Reasoning	0.5892507030067045	138.30769230769232
jpn	Data and Chance	Applying	0.6808066608325569	98.9047619047619
jpn	Data and Chance	Knowing	0.8276899118966983	39.57142857142857
jpn	Geometry	Knowing	0.860596712630233	23.333333333333332
rus	Data and Chance	Reasoning	0.29922334975893383	188.33333333333334
rus	Number	Knowing	0.6904894724077604	58.225806451612904
rus	Number	Reasoning	0.422696939885346	151.33333333333334
rus	Algebra	Applying	0.546576265765461	105.33333333333333
rus	Geometry	Applying	0.5230996525763046	117.31818181818181
rus	Algebra	Reasoning	0.4345010245460302	144.30769230769232
rus	Geometry	Reasoning	0.4399615702643475	142.16666666666666
rus	Number	Applying	0.5484471699822108	109.17857142857143
rus	Algebra	Knowing	0.5800937053990647	97.8076923076923
rus	Data and Chance	Knowing	0.6437186484651611	75.14285714285714
rus	Data and Chance	Applying	0.5102080156407616	122.57142857142857
rus	Geometry	Knowing	0.6918549860287853	51.0
