country	correct_bins	correct_bins_lead	correct_count
sgp	(0.467,0.506]	0.467	5
sgp	(0.39,0.429]	0.39	4
sgp	(0.429,0.467]	0.429	1
sgp	(0.545,0.584]	0.545	9
sgp	(0.584,0.622]	0.584	14
sgp	(0.506,0.545]	0.506	6
sgp	(0.622,0.661]	0.622	12
sgp	(0.661,0.7]	0.661	14
sgp	(0.7,0.739]	0.7	18
sgp	(0.777,0.816]	0.777	22
sgp	(0.739,0.777]	0.739	23
sgp	(0.855,0.894]	0.855	30
sgp	(0.816,0.855]	0.816	26
sgp	(0.894,0.933]	0.894	17
sgp	(0.933,0.972]	0.933	7
sgp	(0.351,0.39]	0.351	3
sgp	(0.274,0.312]	0.274	1
sgp	(0.312,0.351]	0.312	2
sgp	(0.196,0.235]	0.196	1
kor	(0.196,0.235]	0.196	1
kor	(0.235,0.274]	0.235	1
kor	(0.274,0.312]	0.274	1
kor	(0.39,0.429]	0.39	6
kor	(0.429,0.467]	0.429	6
kor	(0.467,0.506]	0.467	11
kor	(0.506,0.545]	0.506	8
kor	(0.584,0.622]	0.584	12
kor	(0.545,0.584]	0.545	13
kor	(0.661,0.7]	0.661	21
kor	(0.622,0.661]	0.622	11
kor	(0.7,0.739]	0.7	17
kor	(0.739,0.777]	0.739	17
kor	(0.777,0.816]	0.777	29
kor	(0.855,0.894]	0.855	16
kor	(0.816,0.855]	0.816	19
kor	(0.894,0.933]	0.894	13
kor	(0.933,0.972]	0.933	10
kor	(0.351,0.39]	0.351	1
kor	(0.119,0.157]	0.119	1
kor	(0.157,0.196]	0.157	1
twn	(0.235,0.274]	0.235	2
twn	(0.196,0.235]	0.196	3
twn	(0.351,0.39]	0.351	6
twn	(0.312,0.351]	0.312	1
twn	(0.39,0.429]	0.39	2
twn	(0.467,0.506]	0.467	4
twn	(0.429,0.467]	0.429	2
twn	(0.545,0.584]	0.545	12
twn	(0.506,0.545]	0.506	8
twn	(0.584,0.622]	0.584	12
twn	(0.622,0.661]	0.622	19
twn	(0.661,0.7]	0.661	14
twn	(0.777,0.816]	0.777	22
twn	(0.739,0.777]	0.739	33
twn	(0.7,0.739]	0.7	29
twn	(0.855,0.894]	0.855	15
twn	(0.816,0.855]	0.816	16
twn	(0.894,0.933]	0.894	8
twn	(0.933,0.972]	0.933	6
twn	(0.157,0.196]	0.157	1
hkg	(0.235,0.274]	0.235	5
hkg	(0.196,0.235]	0.196	1
hkg	(0.351,0.39]	0.351	7
hkg	(0.39,0.429]	0.39	4
hkg	(0.312,0.351]	0.312	2
hkg	(0.506,0.545]	0.506	8
hkg	(0.545,0.584]	0.545	11
hkg	(0.584,0.622]	0.584	11
hkg	(0.467,0.506]	0.467	9
hkg	(0.622,0.661]	0.622	17
hkg	(0.661,0.7]	0.661	19
hkg	(0.7,0.739]	0.7	16
hkg	(0.777,0.816]	0.777	27
hkg	(0.739,0.777]	0.739	21
hkg	(0.816,0.855]	0.816	18
hkg	(0.855,0.894]	0.855	22
hkg	(0.894,0.933]	0.894	10
hkg	(0.933,0.972]	0.933	2
hkg	(0.119,0.157]	0.119	1
hkg	(0.429,0.467]	0.429	4
jpn	(0.351,0.39]	0.351	2
jpn	(0.312,0.351]	0.312	3
jpn	(0.274,0.312]	0.274	3
jpn	(0.39,0.429]	0.39	3
jpn	(0.467,0.506]	0.467	18
jpn	(0.429,0.467]	0.429	8
jpn	(0.506,0.545]	0.506	8
jpn	(0.584,0.622]	0.584	7
jpn	(0.545,0.584]	0.545	20
jpn	(0.622,0.661]	0.622	22
jpn	(0.661,0.7]	0.661	16
jpn	(0.777,0.816]	0.777	18
jpn	(0.7,0.739]	0.7	27
jpn	(0.739,0.777]	0.739	16
jpn	(0.816,0.855]	0.816	16
jpn	(0.855,0.894]	0.855	12
jpn	(0.894,0.933]	0.894	10
