country	gender_bins	gender_bins_lead	gender_count
sgp	(-0.21,-0.19]	-0.21	1
sgp	(-0.0925,-0.0729]	-0.0925	13
sgp	(-0.0729,-0.0533]	-0.0729	36
sgp	(-0.0533,-0.0338]	-0.0533	48
sgp	(-0.0338,-0.0142]	-0.0338	35
sgp	(0.0249,0.0445]	0.0249	8
sgp	(0.123,0.142]	0.123	1
sgp	(-0.132,-0.112]	-0.132	7
sgp	(-0.0142,0.00538]	-0.0142	32
sgp	(0.00538,0.0249]	0.00538	22
sgp	(0.0641,0.0837]	0.0641	2
sgp	(-0.112,-0.0925]	-0.112	5
sgp	(0.0445,0.0641]	0.0445	3
sgp	(0.0837,0.103]	0.0837	2
kor	(-0.0338,-0.0142]	-0.0338	44
kor	(0.00538,0.0249]	0.00538	31
kor	(0.0445,0.0641]	0.0445	15
kor	(-0.0533,-0.0338]	-0.0533	21
kor	(-0.0142,0.00538]	-0.0142	33
kor	(0.0249,0.0445]	0.0249	22
kor	(0.0641,0.0837]	0.0641	7
kor	(0.162,0.182]	0.162	2
kor	(-0.0729,-0.0533]	-0.0729	15
kor	(0.103,0.123]	0.103	7
kor	(0.123,0.142]	0.123	2
kor	(-0.112,-0.0925]	-0.112	4
kor	(-0.0925,-0.0729]	-0.0925	6
kor	(0.0837,0.103]	0.0837	5
kor	(-0.132,-0.112]	-0.132	1
twn	(-0.0533,-0.0338]	-0.0533	24
twn	(-0.0142,0.00538]	-0.0142	43
twn	(0.0445,0.0641]	0.0445	19
twn	(-0.0925,-0.0729]	-0.0925	5
twn	(0.00538,0.0249]	0.00538	29
twn	(0.0249,0.0445]	0.0249	18
twn	(0.0641,0.0837]	0.0641	12
twn	(-0.0729,-0.0533]	-0.0729	11
twn	(0.103,0.123]	0.103	2
twn	(-0.112,-0.0925]	-0.112	2
twn	(-0.0338,-0.0142]	-0.0338	43
twn	(0.0837,0.103]	0.0837	5
twn	(0.123,0.142]	0.123	1
twn	(-0.132,-0.112]	-0.132	1
hkg	(-0.0533,-0.0338]	-0.0533	16
hkg	(-0.0338,-0.0142]	-0.0338	42
hkg	(-0.0142,0.00538]	-0.0142	35
hkg	(0.0249,0.0445]	0.0249	23
hkg	(0.0445,0.0641]	0.0445	17
hkg	(-0.132,-0.112]	-0.132	1
hkg	(0.00538,0.0249]	0.00538	36
hkg	(0.0641,0.0837]	0.0641	12
hkg	(-0.0925,-0.0729]	-0.0925	5
hkg	(-0.0729,-0.0533]	-0.0729	12
hkg	(0.0837,0.103]	0.0837	9
hkg	(0.103,0.123]	0.103	3
