id	topics
abn	Bayesian gR
AdMit	Bayesian Cluster Distributions
arm	Bayesian SocialSciences
AtelieR	Bayesian Distributions
bayesGARCH	Bayesian Finance
bayesImageS	Bayesian MedicalImaging
bayesm	Bayesian Cluster Distributions Econometrics HighPerformanceComputing MedicalImaging Multivariate
bayesmeta	Bayesian MetaAnalysis
bayesmix	Bayesian Cluster gR
bayesSurv	Bayesian Survival
BayesTree	Bayesian MachineLearning
BayHaz	Bayesian Survival
BAYSTAR	Bayesian TimeSeries
bclust	Bayesian Cluster
bcp	Bayesian HighPerformanceComputing
BMA	Bayesian Econometrics SocialSciences Survival
Bmix	Bayesian Cluster
BMS	Bayesian Econometrics
bnlearn	Bayesian HighPerformanceComputing gR
boa	Bayesian gR
bqtl	Bayesian Genetics
bspec	Bayesian TimeSeries
bspmma	Bayesian MetaAnalysis
bsts	Bayesian TimeSeries
catnet	Bayesian gR
coda	Bayesian gR
cudaBayesreg	Bayesian HighPerformanceComputing MedicalImaging
dclone	Bayesian HighPerformanceComputing Optimization gR
deal	Bayesian gR
dlm	Bayesian Finance TimeSeries
DPpackage	Bayesian Survival
eco	Bayesian Environmetrics
ensembleBMA	Bayesian TimeSeries
evdbayes	Bayesian Distributions Environmetrics ExtremeValue
exactLoglinTest	Bayesian SocialSciences
FME	Bayesian DifferentialEquations
geoR	Bayesian Distributions Spatial
geoRglm	Bayesian Spatial
glmmBUGS	Bayesian Spatial
gRain	Bayesian gR
hbsae	Bayesian OfficialStatistics
HI	Bayesian Distributions
Hmisc	Bayesian ClinicalTrials Econometrics Multivariate OfficialStatistics ReproducibleResearch SocialSciences
LearnBayes	Bayesian Distributions Survival
lme4	Bayesian Econometrics Environmetrics OfficialStatistics Psychometrics SocialSciences SpatioTemporal
lmm	Bayesian SocialSciences
matchingMarkets	Bayesian Econometrics Finance Optimization
MCMCglmm	Bayesian Phylogenetics Psychometrics SocialSciences Survival
MCMCpack	Bayesian Distributions Multivariate Psychometrics Survival
mgcv	Bayesian Econometrics Environmetrics SocialSciences
MNP	Bayesian Econometrics Multivariate SocialSciences
monomvn	Bayesian Multivariate
MSBVAR	Bayesian Econometrics Finance TimeSeries
PReMiuM	Bayesian Cluster Spatial Survival
profdpm	Bayesian Cluster
pscl	Bayesian Econometrics Environmetrics Psychometrics SocialSciences
R2WinBUGS	Bayesian gR
ramps	Bayesian Spatial
rbugs	Bayesian gR
revdbayes	Bayesian Distributions ExtremeValue
rjags	Bayesian Cluster gR
RSGHB	Bayesian Bayesian Econometrics
Runuran	Bayesian Distributions
sna	Bayesian Optimization SocialSciences
